image_id,parent_image_id,label,class_name_readable,relative_path,image_path,source,generation_method,external_generator_note,clip_intended_score,clip_best_label,clip_margin
synthetic_32_0,32,0,Black footed Albatross,class_000\img00032_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_000\img00032_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.17654238641262054,82,-0.14791060984134674
synthetic_51_0,51,0,Black footed Albatross,class_000\img00051_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_000\img00051_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.1811225414276123,86,-0.11441582441329956
synthetic_77_0,77,1,Laysan Albatross,class_001\img00077_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_001\img00077_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.28283631801605225,43,-0.03152060508728027
synthetic_81_0,81,1,Laysan Albatross,class_001\img00081_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_001\img00081_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.3366571366786957,1,0.001469641923904419
synthetic_131_0,131,2,Sooty Albatross,class_002\img00131_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_002\img00131_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.10920967161655426,46,-0.19329936802387238
synthetic_121_0,121,2,Sooty Albatross,class_002\img00121_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_002\img00121_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.23091183602809906,134,-0.07452322542667389
synthetic_235_0,235,3,Groove billed Ani,class_003\img00235_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_003\img00235_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.3511204719543457,8,-0.0014156103134155273
synthetic_197_0,197,3,Groove billed Ani,class_003\img00197_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_003\img00197_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.2313307523727417,30,-0.08177930116653442
synthetic_263_0,263,4,Crested Auklet,class_004\img00263_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_004\img00263_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.27913254499435425,9,-0.04979217052459717
synthetic_275_0,275,4,Crested Auklet,class_004\img00275_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_004\img00275_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.06526494026184082,179,-0.27474987506866455
synthetic_291_0,291,5,Least Auklet,class_005\img00291_aug00.jpg,C:\Users\abuba\OneDrive\Desktop\GEN_AI\project\outputs\samples\synthetic_candidates\class_005\img00291_aug00.jpg,synthetic,foreground_preserving_background_swap,,0.2537875473499298,8,-0.05522504448890686
